DateCreateIndicHopTension,ValeurIndicHopTension
2018-11-07,1335.03125
2018-11-08,1350.96875
2018-11-09,1312.1631944444443
2018-11-10,1215.7152777777778
2018-11-11,1238.75
2018-11-12,1333.7386759581882
2018-11-13,1381.8680555555557
2018-11-14,1377.2083333333333
2018-11-15,1373.517361111111
2018-11-16,1317.4131944444443
2018-11-17,1191.15625
2018-11-18,1192.6284722222222
2018-11-19,1299.798611111111
2018-11-20,1344.298611111111
2018-11-21,1349.875
2018-11-22,1365.954861111111
2018-11-23,1305.4340277777778
2018-11-24,1164.388888888889
2018-11-25,1167.0347222222222
2018-11-26,1284.1180555555557
2018-11-27,1346.65625
2018-11-28,1364.3588850174217
2018-11-29,1388.0104166666667
2018-11-30,1316.295138888889
2018-12-01,1206.3333333333333
2018-12-02,1228.1354166666667
2018-12-03,1350.1215277777778
2018-12-04,1397.767361111111
2018-12-05,1394.357638888889
2018-12-06,1391.9618055555557
2018-12-07,1342.2395833333333
2018-12-08,1234.7222222222222
2018-12-09,1235.3333333333333
2018-12-10,1342.2152777777778
2018-12-11,1381.173611111111
2018-12-12,1378.637630662021
2018-12-13,1375.5381944444443
2018-12-14,1321.1284722222222
2018-12-15,1212.0
2018-12-16,1221.0590277777778
2018-12-17,1329.8020833333333
2018-12-18,1366.2291666666667
2018-12-19,1378.5659722222222
2018-12-20,1357.1909722222222
2018-12-21,1285.1145833333333
2018-12-22,1165.954861111111
2018-12-23,1161.9618055555557
2018-12-24,1151.5
2018-12-25,1109.3728222996515
2018-12-26,1187.03125
2018-12-27,1206.6840277777778
2018-12-28,1185.8055555555557
2018-12-29,1122.576388888889
2018-12-30,1134.795138888889
2018-12-31,1135.03125
2019-01-01,1103.6180555555557
2019-01-02,1197.5833333333333
2019-01-03,1244.6458333333333
2019-01-04,1246.6493055555557
2019-01-05,1162.9756944444443
2019-01-06,1179.6458333333333
2019-01-07,1323.298611111111
2019-01-08,1383.98606271777
2019-01-09,1391.2604166666667
2019-01-10,1368.795138888889
2019-01-11,1337.6750902527076
2019-01-12,1231.212765957447
2019-01-13,1247.1938775510205
2019-01-14,1350.115789473684
2019-01-15,1385.2820512820513
2019-01-16,1409.0621118012425
2019-01-17,1416.8175182481752
2019-01-18,1369.75
2019-01-19,1286.045138888889
2019-01-20,1290.2534722222222
2019-01-21,1377.6215277777778
2019-01-22,1420.8368055555557
2019-01-23,1408.8020833333333
2019-01-24,1421.5520833333333
2019-01-25,1378.4618055555557
2019-01-26,1258.3993055555557
2019-01-27,1266.670138888889
2019-01-28,1378.0347222222222
2019-01-29,1421.7916666666667
2019-01-30,1409.8541666666667
2019-01-31,1396.21875
2019-02-01,1352.9444444444443
2019-02-02,1267.8388429752067
2019-02-03,1278.6597222222222
2019-02-04,1377.4340277777778
2019-02-05,1413.2743055555557
2019-02-06,1403.3993055555557
2019-02-07,1426.548611111111
2019-02-08,1391.1631944444443
2019-02-09,1264.048611111111
2019-02-10,1251.7604166666667
2019-02-11,1331.4166666666667
2019-02-12,1339.4756944444443
2019-02-13,1356.9756944444443
2019-02-14,1373.142361111111
2019-02-15,1313.9166666666667
2019-02-16,1208.079861111111
2019-02-17,1205.7847222222222
2019-02-18,1302.2847222222222
2019-02-19,1345.5659722222222
2019-02-20,1388.986111111111
2019-02-21,1391.8368055555557
2019-02-22,1343.71875
2019-02-23,1258.4965277777778
2019-02-24,1241.6145833333333
2019-02-25,1362.84375
2019-02-26,1402.0659722222222
2019-02-27,1387.267361111111
2019-02-28,1390.0833333333333
2019-03-01,1358.1527777777778
2019-03-02,1240.6840277777778
2019-03-03,1248.4965277777778
2019-03-04,1355.7777777777778
2019-03-05,1390.59375
2019-03-06,1382.3819444444443
2019-03-07,1389.2118055555557
2019-03-08,1353.0104166666667
2019-03-09,1240.1770833333333
2019-03-10,1238.267361111111
2019-03-11,1341.8506944444443
2019-03-12,1377.545138888889
2019-03-13,1370.25
2019-03-14,1377.0729166666667
2019-03-15,1342.9305555555557
2019-03-16,1239.420138888889
2019-03-17,1234.6319444444443
2019-03-18,1338.4270833333333
2019-03-19,1378.1006944444443
2019-03-20,1382.454861111111
2019-03-21,1373.548611111111
2019-03-22,1333.3993055555557
2019-03-23,1230.8194444444443
2019-03-24,1211.3958333333333
2019-03-25,1302.232638888889
2019-03-26,1336.1597222222222
2019-03-27,1322.4375
2019-03-28,1326.9409722222222
2019-03-29,1275.1527777777778
2019-03-30,1164.6145833333333
2019-03-31,1163.8592057761732
2019-04-01,1267.375
2019-04-02,1316.2569444444443
2019-04-03,1324.0277777777778
2019-04-04,1330.4652777777778
2019-04-05,1315.2465277777778
2019-04-06,1205.2083333333333
2019-04-07,1203.8090277777778
2019-04-08,1309.2708333333333
2019-04-09,1339.5520833333333
2019-04-10,1334.6909722222222
2019-04-11,1322.3159722222222
2019-04-12,1273.4930555555557
2019-04-13,1163.59375
2019-04-14,1162.9965277777778
2019-04-15,1248.9131944444443
2019-04-16,1283.3125
2019-04-17,1275.8402777777778
2019-04-18,1274.2152777777778
2019-04-19,1235.5243055555557
2019-04-20,1137.0902777777778
2019-04-21,1151.625
2019-04-22,1176.3055555555557
2019-04-23,1296.540350877193
2019-04-24,1344.517361111111
2019-04-25,1333.875
2019-04-26,1281.3159722222222
2019-04-27,1179.7777777777778
2019-04-28,1194.4027777777778
2019-04-29,1301.15625
2019-04-30,1341.7569444444443
2019-05-01,1284.0729166666667
2019-05-02,1362.6145833333333
2019-05-03,1352.0034722222222
2019-05-04,1230.7222222222222
2019-05-05,1225.9756944444443
2019-05-06,1329.8645833333333
2019-05-07,1341.6631944444443
2019-05-08,1264.8229166666667
2019-05-09,1343.9097222222222
2019-05-10,1314.388888888889
2019-05-11,1192.3194444444443
2019-05-12,1193.7708333333333
2019-05-13,1292.375
2019-05-14,1314.3541666666667
2019-05-15,1323.9618055555557
2019-05-16,1328.611111111111
2019-05-17,1313.732638888889
2019-05-18,1185.7118055555557
2019-05-19,1183.3194444444443
2019-05-20,1271.861111111111
2019-05-21,1316.9895833333333
2019-05-22,1302.0902777777778
2019-05-23,1313.2395833333333
2019-05-24,1268.3333333333333
2019-05-25,1151.8333333333333
2019-05-26,1169.9965277777778
2019-05-27,1286.6979166666667
2019-05-28,1334.8020833333333
2019-05-29,1325.7291666666667
2019-05-30,1235.5381944444443
2019-05-31,1235.8125
2019-06-01,1183.59375
2019-06-02,1185.2847222222222
2019-06-03,1306.5833333333333
2019-06-04,1325.0972222222222
2019-06-05,1330.4270833333333
2019-06-06,1336.111111111111
2019-06-07,1309.704861111111
2019-06-08,1173.513888888889
2019-06-09,1172.1875
2019-06-10,1183.954861111111
2019-06-11,1304.0625
2019-06-12,1373.5729166666667
2019-06-13,1383.263888888889
2019-06-14,1335.2256944444443
2019-06-15,1215.7569444444443
2019-06-16,1210.2152777777778
2019-06-17,1334.673611111111
2019-06-18,1367.9340277777778
2019-06-19,1361.2569444444443
2019-06-20,1360.8993055555557
2019-06-21,1300.3506944444443
2019-06-22,1190.420138888889
2019-06-23,1179.732638888889
2019-06-24,1316.5555555555557
2019-06-25,1359.0833333333333
2019-06-26,1343.2881944444443
2019-06-27,1343.5590277777778
2019-06-28,1310.03125
2019-06-29,1200.4618055555557
2019-06-30,1208.8472222222222
2019-07-01,1319.1215277777778
2019-07-02,1369.1805555555557
2019-07-03,1383.545138888889
2019-07-04,1377.7604166666667
2019-07-05,1321.3958333333333
2019-07-06,1206.9131944444443
2019-07-07,1211.6354166666667
2019-07-08,1313.1006944444443
2019-07-09,1330.6770833333333
2019-07-10,1324.732638888889
2019-07-11,1317.6284722222222
2019-07-12,1272.4583333333333
2019-07-13,1172.642361111111
2019-07-14,1180.0868055555557
2019-07-15,1261.3020833333333
2019-07-16,1281.6006944444443
2019-07-17,1290.451388888889
2019-07-18,1294.6527777777778
2019-07-19,1273.2708333333333
2019-07-20,1193.142361111111
2019-07-21,1205.263888888889
2019-07-22,1252.6840277777778
2019-07-23,1244.2430555555557
2019-07-24,1243.326388888889
2019-07-25,1253.2083333333333
2019-07-26,1224.125
2019-07-27,1154.920138888889
2019-07-28,1173.2291666666667
2019-07-29,1224.15625
2019-07-30,1218.7256944444443
2019-07-31,1214.9756944444443
2019-08-01,1225.513888888889
2019-08-02,1216.75
2019-08-03,1143.2777777777778
2019-08-04,1152.8784722222222
2019-08-05,1220.9131944444443
2019-08-06,1238.6493055555557
2019-08-07,1225.6770833333333
2019-08-08,1211.201388888889
2019-08-09,1195.2430555555557
2019-08-10,1134.6284722222222
2019-08-11,1153.7708333333333
2019-08-12,1224.3784722222222
2019-08-13,1223.5972222222222
2019-08-14,1213.6215277777778
2019-08-15,1150.8541666666667
2019-08-16,1164.53125
2019-08-17,1111.6666666666667
2019-08-18,1122.6354166666667
2019-08-19,1208.2534722222222
2019-08-20,1205.8472222222222
2019-08-21,1190.2743055555557
2019-08-22,1201.6666666666667
2019-08-23,1186.6805555555557
2019-08-24,1100.423611111111
2019-08-25,1119.2708333333333
2019-08-26,1222.517361111111
2019-08-27,1254.1527777777778
2019-08-28,1258.21875
2019-08-29,1236.625
2019-08-30,1182.8506944444443
2019-08-31,1088.6493055555557
2019-09-01,1103.8229166666667
2019-09-02,1213.8819444444443
2019-09-03,1274.5069444444443
2019-09-04,1298.9479166666667
2019-09-05,1302.9131944444443
2019-09-06,1259.1944444444443
2019-09-07,1150.15625
2019-09-08,1163.3819444444443
2019-09-09,1281.0034722222222
2019-09-10,1327.4583333333333
2019-09-11,1327.7222222222222
2019-09-12,1336.5868055555557
2019-09-13,1292.236111111111
2019-09-14,1142.7569444444443
2019-09-15,1152.3333333333333
